date,count
2015-02-15,1
2016-01-08,1
2017-01-23,1
2017-01-28,1
2017-02-02,1
2017-07-21,1
2018-07-25,1
2018-10-03,1
2018-10-04,1
2019-06-30,2
2019-12-20,1
2020-10-25,1
2021-07-13,1
2021-07-30,1
2022-02-08,1
2022-07-08,1
2022-07-28,1
2022-08-14,1
2022-11-05,1
2022-11-24,1
2023-01-01,1
2023-01-18,1
2023-01-23,1
2023-01-29,2
2023-02-01,1
2023-02-24,1
2023-04-05,1
2023-04-07,1
2023-04-08,1
2023-04-15,1
2023-04-25,1
2023-05-10,1
2023-05-25,1
2023-06-11,1
2023-06-25,1
2023-07-06,1
2023-07-09,1
2023-07-12,1
2023-07-15,2
2023-07-21,1
2023-07-22,1
2023-07-24,1
2023-08-10,1
2023-08-13,1
2023-08-28,1
2023-08-29,1
2023-09-09,1
2023-09-19,1
2023-09-25,2
2023-09-26,1
2023-09-29,1
2023-09-30,2
2023-10-03,1
2023-11-12,1
2023-11-17,1
2023-11-19,1
2023-12-02,1
2023-12-16,1
2023-12-23,1
2023-12-26,1
2023-12-31,1
2024-01-01,1
2024-01-06,2
2024-01-14,1
2024-01-20,1
2024-01-21,3
2024-01-22,1
2024-01-28,1
2024-02-06,1
2024-02-07,3
2024-02-08,1
2024-02-11,1
2024-02-12,1
2024-02-17,1
2024-02-19,1
2024-02-23,2
2024-02-24,1
2024-02-25,1
2024-03-09,1
2024-03-16,1
2024-04-05,1
2024-04-13,1
2024-04-17,1
2024-04-19,1
2024-05-01,3
2024-05-02,1
2024-05-03,1
2024-05-05,1
2024-05-09,1
2024-05-12,2
2024-06-10,1
2024-06-15,1
2024-06-21,2
2024-06-27,1
2024-06-30,1
2024-07-05,1
2024-07-08,2
2024-07-09,1
2024-07-11,1
2024-07-12,1
2024-07-13,3
2024-07-14,5
2024-07-15,1
2024-07-18,1
2024-07-23,1
2024-07-28,2
2024-07-29,2
2024-07-30,1
2024-08-01,2
2024-08-02,1
2024-08-03,1
2024-08-04,1
2024-08-06,1
2024-08-08,1
2024-08-10,1
2024-08-11,4
2024-08-12,1
2024-08-14,1
2024-08-21,1
2024-08-23,1
2024-08-30,1
2024-09-01,1
2024-09-02,1
2024-09-08,2
2024-09-12,2
2024-09-15,1
2024-09-16,1
2024-09-18,2
2024-09-19,1
2024-09-22,2
2024-09-24,1
2024-10-01,2
2024-10-02,2
2024-10-03,2
2024-10-04,4
2024-10-06,1
2024-10-08,1
2024-10-09,1
2024-10-10,1
2024-10-11,1
2024-10-17,1
2024-10-19,1
2024-10-27,2
2024-11-07,1
2024-11-09,3
2024-11-10,2
2024-11-15,5
2024-11-16,7
2024-11-17,1
2024-11-20,2
2024-11-23,1
2024-11-28,1
2024-11-30,1
2024-12-07,2
2024-12-14,5
2024-12-15,1
2024-12-20,1
2024-12-21,1
2024-12-28,1
2025-01-01,1
2025-01-08,1
2025-01-12,1
2025-01-14,1
2025-01-16,1
2025-01-17,1
2025-01-18,1
2025-01-19,1
2025-01-20,1
2025-01-24,1
2025-01-26,1
2025-01-27,5
2025-01-28,1
2025-01-31,1
2025-02-01,2
2025-02-02,1
2025-02-05,3
2025-02-06,1
2025-02-07,1
2025-02-09,1
2025-02-11,2
2025-02-14,2
2025-02-15,2
2025-02-17,1
2025-02-18,1
2025-02-22,2
2025-02-23,1
2025-02-27,1
2025-03-02,2
2025-03-08,2
2025-03-09,1
2025-03-10,2
2025-03-19,1
2025-03-22,1
2025-03-25,1
2025-03-26,1
2025-03-30,1
2025-03-31,1
2025-04-01,1
2025-04-03,1
2025-04-05,2
2025-04-09,1
2025-04-12,1
2025-04-13,1
2025-04-18,1
2025-04-23,1
2025-04-25,1
2025-04-29,1
2025-05-03,1
2025-05-11,1
2025-05-19,1
2025-05-23,1
2025-06-03,1
2025-06-05,1
2025-06-07,1
2025-06-10,1
2025-06-23,1
2025-06-29,1
2025-07-02,1
2025-07-05,2
2025-07-09,1
2025-07-18,4
2025-07-19,1
2025-07-21,1
2025-07-22,1
2025-07-23,4
2025-08-01,1
